,date,open,close,high,low,volume,amount,return
247,2009-05-18,3.825,3.828,3.835,3.768,7920.21,30318.563879999998,-0.13016627078384801
248,2009-05-19,4.21,4.035,4.21,3.913,14995.46,60506.6811,-0.07636454682023042
249,2009-05-20,3.994,3.93,4.03,3.891,9182.25,36086.2425,-0.057746120580005056
250,2009-05-21,3.931,3.802,3.968,3.791,7588.4,28851.0968,-0.030311017395888262
251,2009-05-22,3.794,3.772,3.868,3.689,6811.0,25691.091999999997,-0.007067137809187218
252,2009-05-25,3.679,3.662,3.679,3.56,9685.39,35467.89818,-0.009785267735797798
253,2009-05-26,3.679,3.689,3.801,3.679,7851.74,28965.06886,-0.0002717391304348782
254,2009-05-27,3.68,3.704,3.762,3.68,9072.59,33604.873360000005,-0.031107535532314268
255,2009-06-01,3.729,3.679,3.752,3.645,20025.58,73674.10882000001,-0.048348106365833976
256,2009-06-02,3.723,3.653,3.723,3.645,11810.01,43141.96653,-0.03476594579797432
257,2009-06-03,3.653,3.643,3.66,3.577,19889.74,72458.32282,-0.010011123470522798
258,2009-06-04,3.596,3.679,3.729,3.596,9128.33,33583.12607,-0.011901541790641068
259,2009-06-05,3.697,3.613,3.697,3.601,10462.96,37802.674479999994,0.0077497924162746035
260,2009-06-08,3.613,3.543,3.628,3.467,14089.13,49917.78759,0.019230769230769162
261,2009-06-09,3.536,3.526,3.56,3.39,9979.41,35187.399659999995,0.025866969869243972
262,2009-06-10,3.518,3.56,3.56,3.489,6891.7,24534.452,0.03286516853932575
263,2009-06-11,3.56,3.653,3.653,3.528,11818.5,43172.9805,-0.0005439216752788356
264,2009-06-12,3.677,3.641,3.679,3.611,10105.76,36795.07216,-0.003295797857731375
265,2009-06-15,3.641,3.604,3.641,3.475,19584.26,70581.67304,0.018628281117696766
266,2009-06-16,3.543,3.609,3.638,3.494,9816.38,35427.31542,0.02881925013989939
267,2009-06-17,3.574,3.677,3.677,3.574,10042.78,36927.30206,-0.010062550992657071
268,2009-06-18,3.677,3.675,3.709,3.66,9529.02,35019.1485,0.011959771677086284
269,2009-06-19,3.679,3.629,3.679,3.616,10422.67,37823.86943,0.0005457025920871938
270,2009-06-22,3.665,3.609,3.667,3.582,5879.12,21217.74408,0.032285233015160175
271,2009-06-23,3.562,3.677,3.702,3.543,8730.07,32100.467389999998,0.009051014810751434
272,2009-06-24,3.646,3.64,3.66,3.599,8864.41,32266.452400000002,0.029250956806998518
273,2009-06-25,3.658,3.723,3.826,3.621,21340.98,79452.46854,-0.008835341365461824
274,2009-06-26,3.735,3.667,3.777,3.652,8112.5,29748.5375,-0.001365374112506812
275,2009-06-29,3.662,3.677,3.706,3.638,6616.85,24330.157450000002,-0.0485013623978201
276,2009-06-30,3.67,3.679,3.709,3.643,4492.74,16528.79046,-0.047824912185895685
277,2009-07-01,3.701,3.765,3.78,3.667,14861.12,55952.1168,-0.0633210719915922
278,2009-07-02,3.806,3.702,3.828,3.68,8489.57,31428.38814,-0.005406866720735315
279,2009-07-03,3.699,3.657,3.723,3.607,8652.56,31642.41192,0.11891592920353977
280,2009-07-06,3.616,3.492,3.645,3.492,26483.61,92480.76612,0.2
281,2009-07-07,3.524,3.524,3.56,3.492,11657.71,41081.770039999996,0.2
282,2009-07-08,3.524,3.565,3.584,3.524,9408.37,33540.83905,0.2
283,2009-07-09,3.577,3.679,3.694,3.577,22432.45,82528.98355,0.2
284,2009-07-10,3.689,4.046,4.046,3.689,86194.99,348744.92954000004,0.2
285,2009-07-13,4.045,4.34,4.452,3.985,84841.73,368213.10819999996,0.2
286,2009-07-14,4.357,4.774,4.774,4.304,92915.64,443579.26536,0.2
287,2009-07-15,4.797,4.992,5.252,4.791,112789.53,563045.33376,0.1526517443032871
288,2009-07-16,4.959,5.484,5.484,4.865,75276.55,412816.6002,0.14161220043572986
289,2009-07-17,5.508,6.033,6.033,5.425,88881.41,536221.54653,0.1432664756446993
290,2009-07-23,5.933,6.02,6.255,5.709,80435.35,484220.80700000003,0.10385707129737853
291,2009-07-24,5.989,5.832,5.993,5.601,67470.34,393487.02287999995,0.1527417401833593
292,2009-07-27,5.781,5.716,5.967,5.699,39426.54,225362.10264000003,0.15062981105668305
293,2009-07-28,5.716,6.288,6.288,5.662,61694.64,387935.89632,0.034607519270095866
294,2009-07-29,6.357,6.783,6.916,6.272,82927.72,562498.72476,-0.009575721862109643
