id	char
1176	替
1177	最
1178	月
1179	有
1180	朋
1181	服
1182	朗
1183	望
1184	朝
1185	期
1186	朦
1187	木
1188	未
1189	末
1190	本
1191	术
1192	朴
1193	朵
1194	机
1195	朽
1196	杀
1197	杂
1198	权
1199	杆
1200	杏
1201	材
1202	村
1203	杜
1204	束
1205	条
1206	来
1207	杨
1208	杯
1209	杳
1210	松
1211	板
1212	极
1213	构
1214	枉
1215	枕
1216	林
1217	枚
1218	果
1219	枝
1220	枣
1221	枪
1222	枫
1223	枭
1224	枯
1225	架
1226	柏
1227	某
1228	染
1229	柔
1230	柠
1231	柱
1232	柳
1233	柿
1234	栅
1235	标
1236	栏
1237	树
1238	栖
1239	栗
1240	株
1241	样
1242	根
1243	格
1244	栽
1245	桂
1246	桃
1247	框
1248	案
1249	桌
1250	桐
1251	桑
1252	桔
1253	桠
1254	桥
1255	梁
1256	梅
1257	梢
1258	梦
1259	梧
1260	梨
1261	梭
1262	梯
1263	棉
1264	棋
1265	棍
1266	棒
1267	棘
1268	森
1269	棱
1270	棵
1271	椅
1272	植
1273	椒
1274	楂
1275	楚
1276	楷
1277	楼
1278	概
1279	榕
1280	榜
1281	樟
1282	模
1283	横
1284	樱
1285	樽
1286	橱
1287	檐
1288	檬
1289	欠
1290	次
1291	欢
1292	欣
1293	欧
1294	欲
1295	欺
1296	款
1297	歇
1298	歌
1299	止
1300	正
1301	此
1302	步
1303	武
1304	歧
1305	歪
1306	死
1307	殇
1308	殊
1309	残
1310	段
1311	殷
1312	殿
1313	毁
1314	毅
1315	母
1316	每
1317	毒
1318	比
1319	毛
1320	毫
1321	民
1322	气
1323	氛
1324	氤
1325	氧
1326	氲
1327	水
1328	永
1329	汁
1330	求
1331	汇
1332	汗
1333	江
1334	池
1335	污
1336	汨
1337	汪
1338	沁
1339	沃
1340	沉
1341	沙
1342	沟
1343	没
1344	沥
1345	沦
1346	沧
1347	沱
1348	河
1349	沸
1350	油
1351	治
1352	沽
1353	沾
1354	沿
1355	泅
1356	泉
1357	泊
1358	法
1359	泛
1360	泡
1361	波
1362	泣
1363	泥
1364	注
1365	泪
1366	泳
1367	泷
1368	泼
1369	泽
1370	洁
1371	洋
1372	洒
1373	洗
1374	洞
1375	津
1376	洧
1377	洪
1378	洲
1379	活
1380	洼
1381	流
1382	浅
1383	浆
1384	浇
1385	浊
1386	浑
1387	浓
1388	浩
1389	浪
1390	浮
1391	浴
1392	海
1393	浸
1394	涂
1395	消
1396	涉
1397	涌
1398	涎
1399	涓
1400	涛
1401	涝
1402	涟
1403	涡
1404	涤
1405	润
1406	涧
1407	涨
1408	涩
1409	涯
1410	液
1411	涵
1412	淀
1413	淋
1414	淌
1415	淘
1416	淙
1417	淡
1418	深
1419	混
1420	淹
1421	添
1422	清
1423	渊
1424	渎
1425	渐
1426	渔
1427	渗
1428	渝
1429	渡
1430	温
1431	港
1432	渲
1433	渴
1434	游
1435	渺
1436	湖
1437	湘
1438	湛
1439	湮
1440	湾
1441	湿
1442	溅
1443	源
1444	溜
1445	溢
1446	溪
1447	溱
1448	滂
1449	滋
1450	滑
1451	滔
1452	滚
1453	滞
1454	滟
1455	满
1456	滥
1457	滩
1458	滴
1459	漂
1460	漆
1461	漏
1462	演
1463	漠
1464	漪
1465	漫
1466	漯
1467	漾
1468	潇
1469	潋
1470	潜
1471	潭
1472	潮
1473	潺
1474	澄
1475	澈
1476	澜
1477	澡
1478	澹
1479	激
1480	瀑
1481	瀚
1482	火
1483	灭
1484	灯
1485	灰
1486	灵
1487	灼
1488	灾
1489	灿
1490	炉
1491	炊
1492	炎
1493	炒
1494	炙
1495	炫
1496	炸
1497	点
1498	炼
1499	炽
1500	烁
1501	烂
1502	烈
1503	烛
1504	烟
1505	烤
1506	烦
1507	烧
1508	烫
1509	烬
1510	热
1511	烹
1512	烽
1513	焕
1514	焚
1515	焦
1516	焰
1517	然
1518	煌
1519	煎
1520	煦
1521	照
1522	煮
1523	煽
1524	熄
1525	熏
1526	熔
1527	熙
1528	熟
1529	熠
1530	熬
1531	熹
1532	燃
1533	燕
1534	燥
1535	爪
1536	爬
1537	爱
1538	父
1539	爸
1540	爽
1541	片
1542	牌
1543	牙
1544	牛
1545	牡
1546	牧
1547	物
1548	牲
1549	牵
1550	特
1551	牺
1552	犀
1553	犁
1554	状
1555	犹
1556	狂
1557	狗
1558	狠
1559	独
1560	狮
1561	狱
1562	狼
1563	猛
1564	猜
1565	猩
1566	猪
1567	猫
1568	献
1569	猴
1570	玉
1571	王
1572	玩
1573	玫
1574	环
1575	现
1576	玲
1577	珊
1578	珍
1579	珑
1580	珠
1581	班
1582	球
1583	理
1584	琉
1585	琢
1586	琴
1587	琼
1588	瑕
1589	瑟
1590	瑰
1591	璃
1592	瓜
1593	瓢
1594	瓣
1595	瓦
1596	瓶
1597	甘
1598	甚
1599	甜
1600	生
1601	用
1602	田
1603	由
1604	甲
1605	电
1606	男
1607	甸
1608	画
1609	畅
1610	界
1611	畏
1612	畔
1613	留
1614	略
1615	畦
1616	番
1617	疆
1618	疏
1619	疗
1620	疯
1621	疲
1622	疼
1623	病
1624	症
1625	痒
1626	痕
1627	痛
1628	痴
1629	瘦
1630	癞
1631	登
1632	白
1633	百
1634	的
1635	皆
1636	皎
1637	皑
1638	皮
1639	皱
1640	盆
1641	盈
1642	益
1643	盎
1644	盏
1645	盐
1646	盒
1647	盖
1648	盘
1649	盛
1650	目
1651	盲
1652	直
1653	相
1654	盼
1655	省
1656	眉
1657	看
1658	真
1659	眠
1660	眨
1661	眶
1662	眷
1663	眸
1664	眺
1665	眼
1666	着
1667	睁
1668	睛
1669	睡
1670	睦
1671	睫
1672	睬
1673	睹
1674	瞅
1675	瞎
1676	瞒
1677	瞧
1678	瞬
1679	瞰
1680	矍
1681	矗
1682	矢
1683	矣
1684	知
1685	矩
1686	矫
1687	短
1688	矮
1689	石
1690	砌
1691	研
1692	砖
1693	砥
1694	砰
1695	破
1696	砺
1697	砾
1698	硌
1699	硕
1700	硬
1701	碌
1702	碎
1703	碑
1704	碗
1705	碧
1706	碰
1707	碾
1708	磅
1709	磨
1710	礁
1711	礴
1712	示
1713	礼
1714	社
1715	祈
1716	祖
1717	祝
1718	神
1719	祥
1720	祭
1721	祷
1722	禁
1723	禅
1724	福
1725	离
1726	禽
1727	禾
1728	秀
1729	私
1730	秃
1731	秋
1732	种
1733	科
1734	秒
1735	秘
1736	积
1737	称
1738	移
1739	秽
1740	稀
1741	程
1742	稚
1743	稞
1744	稠
1745	稳
1746	稻
1747	稼
1748	穑
1749	穗
1750	究
1751	穷
1752	穹
1753	空
1754	穿
1755	突
1756	窈
1757	窍
1758	窑
1759	窒
1760	窕
1761	窗
1762	窜
1763	窝
1764	窠
1765	窥
1766	窦
1767	立
1768	竖
1769	站
1770	竟
1771	章
1772	童
1773	端
1774	竹
1775	竿
1776	笑
1777	笔
1778	笛
1779	笞
1780	符
1781	第
1782	笺
1783	笼
1784	等
1785	筋
1786	筑
1787	答
1788	筹
1789	签
1790	简
1791	算
1792	管
1793	箱
1794	箴
1795	篆
1796	篇
1797	篙
1798	篮
1799	篷
1800	籁
1801	籍
1802	米
1803	类
1804	粉
1805	粒
1806	粗
1807	粟
1808	粥
1809	粮
1810	精
1811	糊
1812	糕
1813	糖
1814	糙
1815	糟
1816	系
1817	素
1818	索
1819	紧
1820	紫
1821	累
1822	絮
1823	繁
1824	纠
1825	红
1826	纤
1827	约
1828	级
1829	纪
1830	纯
1831	纱
1832	纳
1833	纵
1834	纷
1835	纸
1836	纹
1837	线
1838	练
1839	组
1840	细
1841	织
1842	终
1843	绊
1844	绎
1845	经
1846	绒
1847	结
1848	绕
1849	绘
1850	给
1851	绚
1852	络
1853	绝
1854	绢
1855	绣
1856	继
1857	绩
1858	绪
1859	续
1860	绳
1861	维
1862	绵
1863	绷
1864	绸
1865	绻
1866	绽
1867	绿
1868	缀
1869	缈
1870	缓
1871	缕
1872	编
1873	缘
1874	缚
1875	缝
1876	缠
1877	缤
1878	缥
1879	缩
1880	缭
1881	缱
1882	缺
1883	网
1884	罗
1885	罢
1886	罪
1887	置
1888	罹
1889	羁
1890	羊
1891	美
1892	羞
1893	羡
1894	群
1895	羹
1896	羽
1897	翁
1898	翅
1899	翔
1900	翘
1901	翠
1902	翩
1903	翻
1904	翼
1905	耀
1906	老
1907	考
1908	耄
1909	者
1910	耋
1911	而
1912	耐
1913	耕
1914	耳
